,GalaxyID,FASHIID,ra_h1,dec_h1,mass_ratio,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1
1566,J162213+403742,20230020935,245.5504,40.6351,0.14879761802051336,168.1789419,9.772801399,-0.671666622,0.0302310306578874,254.81,624.81,9.27,0.0302284
1567,J031056-002323,20230004869,47.707,-0.3645,0.14395064461458484,79.65906788,9.782977104,-0.587277234,0.0370894446969032,238.24,2370.46,10.1,0.0368867666666666
1568,J095659+404313,20230021086,149.2444,40.719,0.5337253245714974,176.3747329,9.697477341,0.108145297,0.0433860979974269,87.65,673.87,9.69,0.0433663333333333
1569,J090109+345439,20230011856,135.291,34.9139,0.03799823383523152,163.4822693,9.410421371,-0.442772716,0.0321452319622039,152.86,995.56,9.64,0.0321248666666666
1570,J095728+410954,20230021864,149.3601,41.1581,0.080775735284715,155.3652313,9.42854023,-0.372074455,0.0419058762490749,181.19,396.16,9.43,0.0418531
1571,J092330+382357,20230017288,140.8788,38.3981,0.4834928633338634,149.16623,9.505645752,-0.68103832,0.0273271705955266,236.89,858.19,9.44,0.0273053666666666
1572,J083025+311122,20230007121,127.5996,31.1943,14.1110864328924,73.80010627,8.292477608,-1.406229377,0.0070762918330729,133.18,1843.69,8.7,0.0070528666666666
1573,J093937+410558,20230021770,144.9107,41.0979,4.959320547714275,134.9620354,10.81631184,-1.299374938,0.0437929518520832,258.31,498.97,9.55,0.0425309
1574,J102128+422658,20230023692,155.3588,42.4442,2.6114834927751467,192.7767486,10.24758053,-0.498516947,0.0438856221735477,236.73,467.65,9.54,0.0439109666666666
1575,J114815+460806,20230028146,177.0516,46.1395,0.03323407219825823,66.04070682,9.100235939,0.129507065,0.0250562708824872,135.34,1249.68,9.51,0.0251029
1576,J113527+464046,20230028759,173.8696,46.6801,0.8360507253447002,174.7608018,9.775959969,-0.173428535,0.0338002704083919,206.67,1088.95,9.71,0.0338244666666666
1577,J090900+363331,20230014265,137.2812,36.5767,0.21010958743820687,178.2951,10.09496307,-0.034026064,0.0694965943694114,90.22,264.25,9.65,0.0691248666666666
1578,J103603+445535,20230026740,159.0083,44.9161,0.13521424577355795,151.6798676,9.43805027,-0.296229243,0.0414869114756584,238.87,927.71,9.8,0.0414751
1579,J104733+453404,20230027388,161.8865,45.5684,40.12900578342991,181.2400353,10.97755527,-0.797585964,0.0495593287050724,282.64,2240.02,10.32,0.0495861666666666
1580,J105445+453711,20230027454,163.6891,45.6216,0.23420260049451552,79.50698358,8.389699936,-0.903505623,0.0192955024540424,41.22,737.51,9.05,0.0192062666666666
1581,J105824+462622,20230028474,164.5892,46.4341,1.8148970929397943,118.9740833,9.750252724,-0.126020417,0.0396794751286506,261.5,904.41,9.75,0.0396631666666666
1582,J112735+472246,20230029392,171.9228,47.3887,0.3797863031355829,94.06014743,9.910002708,0.408267856,0.032730333507061,164.74,4515.81,10.3,0.0327694333333333
1583,J111913+473721,20230029655,169.8196,47.646,0.5386386252183765,127.4315199,9.537433624,-0.534883499,0.0338475033640861,259.4,4060.48,10.29,0.0343869
1584,J114306+482126,20230030246,175.7573,48.3574,4.011200262175462,47.93553794,8.215481758,-1.865182042,0.0143186319619417,86.28,943.67,8.73,0.0103094
1585,J084155+295618,20230060454,130.4778,29.9416,0.6900439062634707,179.6600302,9.608049393,-0.456267238,0.0504845902323722,120.88,451.07,9.61,0.0504682666666666
1586,J091145+352417,20230012286,137.9265,35.3974,0.052963492076831806,158.4418541,7.131667614,-2.945294142,0.0060705933719873,53.18,1154.48,8.41,0.0060756
1587,J092045+354546,20230012885,140.1904,35.771,0.8142075590053653,109.541947,8.372376442,-0.69463259,0.0252297352999448,93.55,638.11,9.24,0.0251739666666666
1588,J083533+303203,20230006462,128.8846,30.5353,1.6651292316569393,166.2106706,9.75617981,0.412064821,0.025502411648631,175.86,3500.5,9.97,0.0254978333333333
1589,J091031+343333,20230011605,137.6182,34.5532,2.0154933566702176,171.6238449,9.164400101,-0.424710929,0.0271613392978906,184.51,672.1,9.33,0.0270432333333333
1590,J091633+350940,20230012052,139.1362,35.1593,6.732391236469953,61.44500038,8.777736664,-0.450382471,0.0172840226441621,117.37,2144.24,9.43,0.0172474333333333
1591,J084954+323911,20230009192,132.4678,32.6503,0.324630808216874,92.00762198,8.016741753,-1.262005687,0.0147632313892245,97.22,421.99,8.58,0.0147105
1592,J031520+413644,20230022418,48.8359,41.615,1.2557320532532823,94.63747882,9.813828468,-0.020640908,0.0198749806731939,125.18,1521.23,9.34,0.0198382333333333
1593,J092847+324833,20230009412,142.2054,32.7994,7.651273915875313,162.6608936,9.3598032,-0.150000095,0.0269041806459426,78.05,976.62,9.48,0.0267536333333333
1594,J093928+335056,20230010906,144.8635,33.8471,22.7064726638871,86.59979793,9.89169693,0.122775413,0.0193798020482063,284.86,4879.75,9.88,0.0193056666666666
