GalaxyID,FASHIID,ra_h1,dec_h1,d_p,logM,SFR,z_a,W50,S_bf,logMh1,z_h1,type
J171853+301136,20230060670,259.7123,30.1837,20.98708721,8.777,-1.091268063,0.014767744,180.07,2769.68,9.35,0.014875499999999998,S+S
J151038-022922,20230003273,227.6627,-2.4889,39.88083514,9.82,0.186,0.037352379,200.6,1687.77,9.95,0.03711943333333333,S+S
J031749-003316,20230051728,49.4992,-0.5382,60.41684264,9.882,-0.132684857,0.021016695,285.08,1968.62,9.46,0.020987866666666667,S+S
J032249-003644,20230004689,50.7009,-0.6215,17.7364213,10.076,0.054,0.035312206,211.17,961.24,9.67,0.03530866666666667,S+S
J085103+401909,20230020371,132.7596,40.3156,150.1537554,9.81,-0.131850138,0.024240034,183.15,609.8,9.18,0.024300033333333335,S+S
J101937+534202,20230035328,154.9684,53.695,102.9157316,10.24,-0.354779333,0.047235016,164.39,2206.68,10.28,0.047605400000000006,S+S
J101937+534202,20230035328,154.9684,53.695,102.9157316,10.006,0.215,0.047595479,164.39,2206.68,10.28,0.047605400000000006,S+S
J100836+492638,20230031250,152.1466,49.449,160.5935553,9.991,0.02100008,0.050957799,124.68,1270.08,10.07,0.050916133333333335,S+S
J095358+493759,20230051475,148.4829,49.6384,10.33852707,9.724925995,0.052227899,0.053949561,237.11,1058.46,10.04,0.0539749,S+S
J091251+434006,20230025384,138.2007,43.6581,131.9334369,10.08361912,0.216970578,0.060374841,145.49,1329.71,10.23,0.0601897,S+S
J091251+434006,20230025384,138.2007,43.6581,131.9334369,10.43717861,0.451337725,0.059953455,145.49,1329.71,10.23,0.0601897,S+S
J083445+382031,20230017232,128.67,38.3596,53.28553889,10.275,0.775,0.040192634,209.62,3194.82,10.31,0.04081566666666667,S+S
J083445+382031,20230017232,128.67,38.3596,53.28553889,10.44,0.725,0.040759351,209.62,3194.82,10.31,0.04081566666666667,S+S
J075943+312712,20230007473,119.935,31.4883,70.45307338,9.51,-0.372006476,0.04409007,403.98,2664.72,10.3,0.04457543333333333,S+S
J075943+312712,20230007473,119.935,31.4883,70.45307338,9.947,0.002392956,0.044929724,403.98,2664.72,10.3,0.04457543333333333,S+S
J084118+395352,20230019773,130.3006,39.8971,161.7824457,10.187,0.51,0.057012197,150.71,689.48,9.9,0.0569134,S+S
J094833+472203,20230029372,147.1405,47.3657,53.8491843,10.673,-0.568055332,0.032550421,155.46,1266.84,9.75,0.032577966666666666,S+S
J094833+472203,20230029372,147.1405,47.3657,53.8491843,10.715,0.298,0.032323562,155.46,1266.84,9.75,0.032577966666666666,S+S
J114431+534058,20230035310,176.1202,53.6818,35.54873141,10.16172409,-0.073764712,0.026589578,155.22,2360.34,9.85,0.027095266666666666,S+E
J120219+535921,20230050591,180.5678,53.9723,192.967257,10.61672974,-0.099038363,0.063847199,383.98,1582.38,10.36,0.0639311,S+S
J122314+545804,20230036731,185.802,54.9725,146.9589655,9.61105442,-0.059999753,0.033589505,194.72,1177.28,9.72,0.033644433333333335,S+S
J122016+554305,20230037487,185.1007,55.728,32.75573491,9.78,0.06,0.030510817,233.84,1490.3,9.75,0.030837633333333336,S+S
J122016+554305,20230037487,185.1007,55.728,32.75573491,9.424,-0.172475532,0.030924028,233.84,1490.3,9.75,0.030837633333333336,S+S
J083124+391104,20230018453,127.8523,39.1833,110.0480632,9.339,-0.304954678,0.030148176,184.03,1074.6,9.62,0.030159466666666666,S+S
J083320+392520,20230018940,128.339,39.4358,121.4296573,9.064,-0.551890969,0.029839829,158.03,802.43,9.48,0.029842766666666666,S+S
J075420+324628,20230009372,118.5754,32.771,150.6299215,9.301,-0.503068566,0.017741462,216.86,2530.55,9.51,0.017692466666666667,S+S
J090729+454810,20230027659,136.8496,45.7704,71.95207601,10.763,-0.041447133,0.040436093,310.9,1347.05,9.92,0.03957633333333333,S+S
J090729+454810,20230027659,136.8496,45.7704,71.95207601,10.391,-0.220396996,0.039567668,310.9,1347.05,9.92,0.03957633333333333,S+S
J081757+374510,20230016300,124.5121,37.7607,66.27095807,9.627,-0.351048857,0.041415766,223.94,1261.42,9.92,0.04145053333333333,S+S
J081757+374510,20230016300,124.5121,37.7607,66.27095807,9.351,-0.243478239,0.041482568,223.94,1261.42,9.92,0.04145053333333333,S+S
