Galaxy,PID,RA_A,DEC_A,Z_A,RA_B,DEC_B,Z_B
J094833+472203,13496,147.1392957083353,47.367646975603456,0.032550420612096786,147.1751778555534,47.345492645826276,0.03232356160879135
J094833+472203,13496,147.1392957083353,47.367646975603456,0.032550420612096786,147.1751778555534,47.345492645826276,0.03232356160879135
J114431+534058,13519,176.12961977433218,53.68283979461993,0.02729492262005806,176.09441020454352,53.697916603865366,0.02658957801759243
J120219+535921,13528,180.58272549692802,53.989276690338386,0.06384719908237457,180.68768513600588,53.980357312945515,0.0647284984588623
J122314+545804,13594,185.81129484780072,54.9679283973154,0.03358950465917587,185.83591597985895,54.88199696981318,0.033766139298677444
J122016+554305,13682,185.07021147469277,55.71816650456261,0.03051081672310829,185.0976703963847,55.73280158562679,0.030924027785658836
J122016+554305,13682,185.07021147469277,55.71816650456261,0.03051081672310829,185.0976703963847,55.73280158562679,0.030924027785658836
J083124+391104,13751,127.85165043064762,39.18454785628508,0.030148176476359367,127.76841717102627,39.21734514137746,0.030040254816412926
J083320+392520,13753,128.3367281522167,39.42247169753356,0.029839828610420227,128.4407760747278,39.416005655292786,0.02818387746810913
J075420+324628,13812,118.58497322923029,32.774634625595205,0.017741462215781212,118.77439228532401,32.72865782048853,0.017843272536993027
J090729+454810,13936,136.87191747557225,45.80302107157981,0.040436092764139175,136.84821457474953,45.771366160284835,0.03956766799092293
J090729+454810,13936,136.87191747557225,45.80302107157981,0.040436092764139175,136.84821457474953,45.771366160284835,0.03956766799092293
J081757+374510,13946,124.49037861746027,37.753016089676585,0.04141576588153839,124.52116703152453,37.77402136417151,0.04148256778717041
J081757+374510,13946,124.49037861746027,37.753016089676585,0.04141576588153839,124.52116703152453,37.77402136417151,0.04148256778717041
J081121+365649,13978,122.84120191811456,36.947104929604514,0.029868124052882195,122.93617556440608,36.99795899861085,0.030247123911976814
J090059+463320,14012,135.24986321550494,46.5556334316148,0.04018963500857353,135.18270576516414,46.626115573361645,0.03999187424778938
J100739+460926,14199,151.91452549426194,46.157487124729975,0.024698343127965927,151.89485363468128,46.09397389562046,0.02430061623454094
J112718+505713,14285,171.82670536435234,50.95387123396878,0.03370806574821472,171.93761027297398,50.91008285448234,0.032067667692899704
J085723+391602,14327,134.34856864360358,39.26748017593423,0.02845139428973198,134.51718438819398,39.263212267981764,0.02768629975616932
J094754+452806,14341,146.97902041694908,45.468462835312536,0.015331191010773182,146.66281815476523,45.43550315998245,0.016146764159202576
J102443+482439,14348,156.1821094658032,48.41099395033528,0.02513398975133896,156.19414263798006,48.439784369965416,0.02525881491601467
J102443+482439,14348,156.1821094658032,48.41099395033528,0.02513398975133896,156.19414263798006,48.439784369965416,0.02525881491601467
J103316+490156,14355,158.3204097817915,49.03224841949609,0.045211680233478546,158.33538813497753,49.0167683990229,0.04544149711728096
J080443+295603,14399,121.17928780885536,29.934346005258334,0.0349825918674469,121.18500917379161,29.98392367825596,0.03468004986643791
J080443+295603,14399,121.17928780885536,29.934346005258334,0.0349825918674469,121.18500917379161,29.98392367825596,0.03468004986643791
J081949+330536,14404,124.95715007594347,33.09358190632794,0.06233486533164978,124.9604482325324,33.054996146419825,0.06179279461503029
J084411+373620,14412,131.04970560863785,37.60566342131368,0.026274025440216064,130.92529616660144,37.68258639202055,0.026435639709234238
J084758+385012,14480,131.9920198157879,38.836709579056524,0.027458928525447845,132.02347736836083,38.91017496436726,0.027536563575267792
J085129+391355,14481,132.8748422958065,39.23199466237914,0.029104478657245636,132.89267979515242,39.13046362329108,0.029506860300898552
J091723+430012,14489,139.34670154541342,43.00347536150233,0.06270862370729446,139.363183925962,42.96671396592455,0.06185537949204445
J091723+430012,14489,139.34670154541342,43.00347536150233,0.06270862370729446,139.363183925962,42.96671396592455,0.06185537949204445
J100409+530327,14621,151.03935743223437,53.05774276746427,0.04005788639187813,151.02584310911257,53.088860178018045,0.04033365100622177
J100409+530327,14621,151.03935743223437,53.05774276746427,0.04005788639187813,151.02584310911257,53.088860178018045,0.04033365100622177
J094759+515239,14713,146.99915552832627,51.87752998544973,0.047393932938575745,147.03963698711837,51.894549141960894,0.047846946865320206
J095236+521318,14714,148.15364940295953,52.22184789093836,0.03917541354894638,148.00122393820106,52.25790905450548,0.03949625417590141
J100009+532918,14732,150.03832753768788,53.48846284958449,0.03913192078471184,150.08584105716218,53.516862264028276,0.03926612436771393
J100009+532918,14732,150.03832753768788,53.48846284958449,0.03913192078471184,150.08584105716218,53.516862264028276,0.03926612436771393
J091504+415949,14819,138.76998558618772,41.996945231246805,0.02791973017156124,138.75304818172373,42.02443607810679,0.027897361665964127
J091504+415949,14819,138.76998558618772,41.996945231246805,0.02791973017156124,138.75304818172373,42.02443607810679,0.027897361665964127
J101252+471612,14933,153.22058426698226,47.2702282473983,0.03899739682674408,153.21362558900717,47.29494789855225,0.03953605890274048
J120749+522051,14974,181.958128280371,52.34750569029991,0.062172289937734604,182.02755364044748,52.3392281000991,0.06210486590862274
J102559+494252,15011,156.4974813870095,49.714513258439226,0.04301545023918152,156.56283544842384,49.71947726219695,0.043391551822423935
J115055+530156,15020,177.73325796605835,53.032299409410776,0.06682071834802628,177.7195262422864,53.0667386791005,0.06646762043237686
J123005+531210,15025,187.5213242625237,53.202868963217185,0.04065345227718353,187.59231323043326,53.18101533701048,0.04037095233798027
J123005+531210,15025,187.5213242625237,53.202868963217185,0.04065345227718353,187.59231323043326,53.18101533701048,0.04037095233798027
J115056+532221,15038,177.73727884015102,53.372772727948885,0.032378051429986954,177.73918095171885,53.38897383262658,0.03260324150323868
J115056+532221,15038,177.73727884015102,53.372772727948885,0.032378051429986954,177.73918095171885,53.38897383262658,0.03260324150323868
J090738+374020,15055,136.91040925976029,37.67235833369257,0.023233553394675255,136.94703627558783,37.5838401648719,0.021636540070176125
J091041+383716,15074,137.67328604257887,38.621263523054466,0.0474579781293869,137.66535970710567,38.640158573566815,0.04702255129814148
J100152+442838,15109,150.46793735755867,44.47742007408504,0.03313780203461647,150.45879823815926,44.573735870000995,0.03307252377271652
J082850+315701,15209,127.20858455292554,31.95042135743676,0.06212609261274338,127.17400424928579,31.990526073740412,0.06186964735388756
J130438+483211,15339,196.158427384597,48.53642247036168,0.03558850660920143,196.14928747636208,48.520415667754044,0.035115402191877365
J111555+481554,15405,168.91592009619615,48.299641687728894,0.025455160066485405,168.98016540928205,48.26525473367916,0.025479372590780258
J125617+490756,15424,194.07382326798896,49.13248399531128,0.030743394047021866,194.10818995793912,49.25679428693708,0.030144378542900085
J140538+462328,15439,211.4093285600033,46.391133664432154,0.06684476137161255,211.4227107874607,46.42745252740028,0.06740539520978928
J145043+424602,15449,222.68218363454048,42.767427257831066,0.018483810126781464,222.67378618716918,42.739631282429634,0.01818712428212166
J145043+424602,15449,222.68218363454048,42.767427257831066,0.018483810126781464,222.67378618716918,42.739631282429634,0.01818712428212166
J092736+412113,15571,141.9041391457672,41.353737672329174,0.033428385853767395,142.04664524538478,41.367552476217426,0.033721499145030975
J121919+502354,15610,184.83045246427457,50.39836426911974,0.029835062101483345,184.89433514423524,50.34858590928138,0.029376449063420296
J131222+493516,15622,198.09244158744954,49.587906337943,0.05472598969936371,198.05389769509975,49.60872136335356,0.05453219264745712
J101659+463036,15660,154.24813701410176,46.51014928143033,0.030399106442928314,154.24395740813785,46.491760828403095,0.030446214601397514
J115232+502726,15681,178.1359691963654,50.4573666783152,0.03263552859425545,178.28698663238353,50.473888023991584,0.0332910418510437
J130828+500012,15699,197.11904607118515,50.00339546944714,0.04786135256290436,197.18576502439566,50.034293452522085,0.047407954931259155
J121407+511349,15752,183.53265548436207,51.23036787217689,0.027174033224582672,183.54864962409928,51.14746082293484,0.02689451538026333
J115218+585657,16142,178.078086691453,58.94928559043851,0.04621674492955208,178.10770775071143,58.974489020781974,0.04642322286963463
J131739+590252,16186,199.4149888426077,59.048026247997285,0.02775636315345764,199.43252999445133,59.075929188821156,0.028008855879306793
J131739+590252,16186,199.4149888426077,59.048026247997285,0.02775636315345764,199.43252999445133,59.075929188821156,0.028008855879306793
J130307+601458,16222,195.7809520545342,60.24966090249374,0.060365937650203705,195.85023713932932,60.20695995986346,0.05992845445871353
J130531+601010,16223,196.38315317201835,60.16948732329246,0.06120213866233826,196.40644150879524,60.172743315542796,0.06023789569735527
J111157+482649,17245,167.9879628777543,48.44720689028118,0.02623225376009941,168.0372528598781,48.37622249987035,0.026366082951426506
J120602+502457,17308,181.51003570916626,50.41595428589766,0.023470114916563034,181.74664793232876,50.45211276033848,0.023305293172597885
J120639+502408,17310,181.66651230848746,50.40224145719045,0.06270106881856918,181.73424531121447,50.425766953079965,0.06369505822658539
J101842+493713,17388,154.67834447007095,49.620398807119194,0.05410389602184296,154.68528456836822,49.62710954123836,0.053536973893642426
J101842+493713,17388,154.67834447007095,49.620398807119194,0.05410389602184296,154.68528456836822,49.62710954123836,0.053536973893642426
J115651+533928,17401,179.2141532663028,53.65802509117369,0.05176669731736183,179.17123548102862,53.664098207547745,0.05189051851630211
J115651+533928,17401,179.2141532663028,53.65802509117369,0.05176669731736183,179.17123548102862,53.664098207547745,0.05189051851630211
J130837+540427,17486,197.15660803122952,54.07443388170436,0.008212068118155003,197.28646490347765,53.94362530790036,0.008350931107997894
J131045+532024,17676,197.69138483469848,53.34008249340585,0.029084257781505585,197.81380810566984,53.38181391666456,0.029926475137472153
J131901+533837,17690,199.75832779109288,53.64367767319603,0.03250787407159805,199.76008648707494,53.64843141716042,0.03255078196525574
J131901+533837,17690,199.75832779109288,53.64367767319603,0.03250787407159805,199.76008648707494,53.64843141716042,0.03255078196525574
